OBJECTID,Name,PERCENTAGE
1,Calendar,17.14422237
2,Chinchaga RRA,1.268403622
3,Clarke,2.622136566
4,Cold Lake,25.1325365
5,Cold Lake Reference,43.58461149
6,Fort Liard,0.450520665
7,Fort Providence Reference,24.97123498
8,Fort Providence South FMA,38.05151731
9,Fort Resolution FMA,34.79717268
10,Fort Resolution Reference,72.55650532
11,Hay River Lowlands,30.43711231
12,Northern Saskatchewan,83.42420203
13,Tweedsmuir,38.00875946
