model,description,p,K,AICc,dAICc
D,"green>moose>wolf>caribou, ha",0.519,9,101.89,0
B,"green>moose>wolf>caribou, ha>wolf",0.453,10,139.32,37.42999999999999
E,"green>moose>wolf>caribou, ha>caribou",0.444,10,139.8,37.91000000000001
