model,description,p,K,AICc,dAICc
D,"green>moose>wolf>caribou, ha",0.506,9,175.64,0
A,"green>moose>wolf, ha>caribou",0.033,9,242.3,66.660000000000025
F,"green>moose>wolf, green>caribou, ha",0.014,9,259.26,83.62
E,"green>moose>wolf>caribou, ha>caribou",0.516,10,350.05,174.41000000000003
B,"green>moose>wolf>caribou, ha>wolf",0.336,10,375.44,199.8
C,"green>moose>wolf, green>caribou, moose>caribou, ha",0.042,10,466.84,291.2
